any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
1989,6,1989-06,9.1,10.6,-1.0,19.5,14.5
1989,7,1989-07,7.5,10.7,-5.0,17.6,11.4
1989,8,1989-08,9.7,12.2,-1.3,21.0,14.9
1989,9,1989-09,8.3,10.4,-5.8,20.1,12.7
1989,10,1989-10,10.4,12.8,1.0,19.9,17.6
1989,11,1989-11,9.3,11.1,-0.8,20.2,16.4
1989,12,1989-12,11.5,14.5,-1.6,22.5,17.7
1990,1,1990-01,7.9,8.5,-0.7,19.1,15.9
1990,2,1990-02,8.4,10.1,-0.4,18.6,15.1
1990,3,1990-03,6.4,9.6,-3.7,18.6,10.7
1990,4,1990-04,6.0,8.2,-2.8,18.2,10.4
1990,5,1990-05,5.5,11.1,-3.4,16.5,9.1
1990,6,1990-06,6.4,9.5,-4.6,18.3,10.2
1990,7,1990-07,8.4,12.1,-0.4,20.0,13.9
1990,8,1990-08,8.2,12.9,-2.3,20.2,10.0
1990,9,1990-09,-2.3,9.5,-20.2,12.3,-16.1
1990,10,1990-10,1.0,6.8,-18.4,17.4,-3.5
1990,11,1990-11,2.5,7.9,-14.3,17.8,0.5
1990,12,1990-12,5.2,10.0,-13.1,19.7,3.4
1991,1,1991-01,-1.3,9.8,-16.2,12.8,-13.0
1991,2,1991-02,2.9,9.6,-10.8,17.4,-1.1
1991,3,1991-03,7.9,10.9,-5.7,20.7,14.4
1991,4,1991-04,4.5,9.6,-8.5,18.7,9.1
1991,5,1991-05,7.4,12.0,-6.2,21.2,12.1
1991,6,1991-06,5.8,11.0,-8.2,18.1,10.0
1991,7,1991-07,5.9,12.1,-6.6,19.1,9.3
1991,8,1991-08,4.2,9.5,-10.5,19.1,5.9
1991,9,1991-09,6.1,9.2,-6.7,18.8,11.7
1991,10,1991-10,4.6,7.6,-11.5,18.7,8.0
1991,11,1991-11,3.6,7.1,-12.8,17.6,5.4
1991,12,1991-12,0.5,6.0,-17.2,14.0,1.3
1992,1,1992-01,0.5,7.1,-16.8,14.6,1.8
1992,2,1992-02,1.7,6.5,-18.0,16.3,1.7
1992,3,1992-03,-0.8,3.9,-20.2,13.2,-2.7
1992,4,1992-04,-1.9,1.8,-17.6,9.7,-2.8
1992,5,1992-05,-3.0,2.1,-23.1,10.2,-7.0
1992,6,1992-06,-2.5,4.1,-28.8,12.0,-9.4
1992,7,1992-07,-5.4,2.6,-32.5,8.2,-15.9
1992,8,1992-08,-12.7,-4.3,-46.4,0.0,-26.9
1992,9,1992-09,-11.6,-1.8,-42.1,0.2,-24.3
1992,10,1992-10,-13.3,-3.4,-44.5,-2.0,-27.4
1992,11,1992-11,-12.2,-3.8,-43.5,1.7,-24.6
1992,12,1992-12,-12.8,-4.7,-48.6,-0.5,-24.5
1993,1,1993-01,-11.2,-4.5,-43.2,2.0,-17.2
1993,2,1993-02,-11.9,-6.9,-51.4,2.0,-19.0
1993,3,1993-03,-11.8,-7.9,-50.4,4.1,-14.3
1993,4,1993-04,-8.4,-7.8,-48.3,7.2,-6.9
1993,5,1993-05,-5.7,-5.5,-46.9,9.8,-0.9
1993,6,1993-06,-12.1,-9.2,-52.6,3.9,-13.4
1993,7,1993-07,-8.9,-6.5,-51.3,8.9,-6.9
1993,8,1993-08,-16.2,-11.4,-61.1,-0.5,-20.4
1993,9,1993-09,-12.4,-8.2,-52.5,5.8,-15.0
1993,10,1993-10,-13.7,-11.8,-59.9,3.7,-13.0
1993,11,1993-11,-15.4,-11.1,-60.3,1.1,-16.4
1993,12,1993-12,-13.1,-13.1,-59.5,4.6,-11.8
1994,1,1994-01,-15.2,-14.4,-60.4,1.7,-16.7
1994,2,1994-02,-10.1,-8.8,-54.7,6.7,-8.8
1994,3,1994-03,-9.8,-8.6,-54.0,8.0,-8.0
1994,4,1994-04,-9.1,-10.4,-55.9,8.9,-5.0
1994,5,1994-05,-5.6,-8.2,-50.0,11.5,3.0
1994,6,1994-06,-3.2,-4.8,-46.0,13.8,6.7
1994,7,1994-07,-2.2,-6.8,-40.4,13.4,10.3
1994,8,1994-08,-0.9,-5.6,-41.2,13.7,11.3
1994,9,1994-09,2.1,-2.0,-32.2,16.5,15.6
1994,10,1994-10,-0.9,-2.5,-32.2,13.8,7.9
1994,11,1994-11,1.1,-2.7,-29.7,15.9,10.3
1994,12,1994-12,1.1,-1.3,-29.1,16.4,10.3
1995,1,1995-01,-1.9,-3.4,-36.5,13.7,5.0
1995,2,1995-02,-1.9,-2.9,-36.1,12.9,5.3
1995,3,1995-03,-3.9,-4.4,-45.1,11.9,-0.8
1995,4,1995-04,-2.6,-3.4,-40.5,11.8,2.4
1995,5,1995-05,-1.5,-1.9,-32.7,13.4,5.7
1995,6,1995-06,-3.3,-4.8,-38.6,11.8,1.9
1995,7,1995-07,-3.9,-6.1,-40.3,10.9,1.5
1995,8,1995-08,-1.9,-2.3,-36.3,11.9,4.4
1995,9,1995-09,-1.0,-2.7,-34.2,12.9,6.1
1995,10,1995-10,-3.1,-2.2,-37.8,12.3,0.3
1995,11,1995-11,-1.1,-1.5,-32.3,13.4,6.5
1995,12,1995-12,-1.1,-1.1,-33.8,13.0,4.8
