any,mes,periode,index_confianca,situacio_actual_financera,situacio_actual_economica,expectatives_financera,expectatives_economica
2021,12,2021-12,-2.1,-6.6,-44.5,11.6,0.7
2022,1,2022-01,-1.2,-5.1,-47.1,10.9,2.5
2022,2,2022-02,1.5,-4.0,-39.0,13.1,9.1
2022,3,2022-03,-17.0,-12.3,-45.2,-8.3,-31.3
2022,4,2022-04,-14.7,-18.9,-66.9,-0.4,-20.3
2022,5,2022-05,-10.9,-14.2,-58.5,3.8,-15.9
2022,6,2022-06,-16.9,-20.0,-64.2,-3.5,-26.1
2022,7,2022-07,-23.6,-22.6,-72.2,-11.3,-41.8
2022,8,2022-08,-19.5,-19.0,-66.9,-5.4,-35.0
2022,9,2022-09,-20.0,-18.5,-66.4,-7.2,-34.5
2022,10,2022-10,-18.7,-19.6,-66.3,-6.7,-28.8
2022,11,2022-11,-15.5,-16.0,-62.9,-1.9,-24.4
2022,12,2022-12,-12.7,-16.5,-59.8,3.2,-18.2
2023,1,2023-01,-10.2,-13.7,-55.6,6.7,-14.9
2023,2,2023-02,-9.0,-13.7,-52.0,7.6,-11.0
2023,3,2023-03,-11.6,-18.5,-60.4,4.0,-13.9
2023,4,2023-04,-7.4,-12.1,-50.6,7.7,-8.1
2023,5,2023-05,-7.9,-13.0,-53.3,7.9,-9.0
2023,6,2023-06,-3.9,-9.9,-40.2,11.8,-2.4
2023,7,2023-07,0.1,-4.8,-32.1,15.0,4.9
2023,8,2023-08,-3.0,-5.0,-27.8,10.5,-3.4
2023,9,2023-09,-8.3,-12.4,-47.9,5.8,-11.1
2023,10,2023-10,-7.3,-10.6,-45.4,7.2,-11.4
2023,11,2023-11,-7.1,-8.0,-45.6,6.9,-13.4
2023,12,2023-12,-6.3,-8.7,-41.9,7.6,-11.5
2024,1,2024-01,-6.7,-8.7,-41.0,8.0,-12.8
2024,2,2024-02,-4.8,-5.4,-40.5,9.0,-9.8
2024,3,2024-03,-3.3,-5.3,-37.4,11.3,-6.7
2024,4,2024-04,-1.8,-2.3,-34.4,13.0,-6.7
2024,5,2024-05,-1.8,-2.2,-34.1,13.4,-7.7
2024,6,2024-06,-1.7,-3.2,-35.7,13.8,-7.6
2024,7,2024-07,-1.0,-1.3,-32.4,12.8,-5.9
2024,8,2024-08,-2.8,-1.5,-35.8,11.3,-10.5
2024,9,2024-09,0.0,-0.2,-34.4,14.9,-6.1
2024,10,2024-10,-0.5,-1.9,-32.4,15.3,-5.3
2024,11,2024-11,0.6,0.8,-34.0,17.8,-8.0
2024,12,2024-12,1.8,1.7,-26.4,16.2,-2.4
2025,1,2025-01,0.5,0.7,-30.6,15.6,-5.9
2025,2,2025-02,-1.1,1.0,-31.2,13.8,-11.4
2025,3,2025-03,-2.0,0.6,-30.2,12.5,-13.0
2025,4,2025-04,-4.2,0.6,-35.8,10.9,-20.8
2025,5,2025-05,-2.2,1.2,-24.0,13.0,-15.5
2025,6,2025-06,-2.9,-0.2,-22.3,12.3,-16.3
2025,7,2025-07,-4.5,-1.5,-27.7,10.6,-20.0
2025,8,2025-08,-2.7,-0.7,-24.1,12.4,-15.5
2025,9,2025-09,-1.0,0.5,-25.3,15.7,-12.5
2025,10,2025-10,-0.1,0.3,-18.7,13.4,-7.6
2025,11,2025-11,-1.0,0.2,-22.7,14.5,-10.9
2025,12,2025-12,-1.9,0.3,-23.2,12.7,-13.6
2026,1,2026-01,-1.8,0.7,-22.0,13.4,-14.6
2026,2,2026-02,-1.7,0.2,-24.5,14.7,-15.4
2026,3,2026-03,-3.0,0.1,-22.6,12.8,-17.6
2026,4,2026-04,-6.2,-2.4,-29.1,8.2,-22.2
2026,5,2026-05,-6.2,-2.6,-30.5,7.8,-22.2
2026,6,2026-06,-5.2,-1.8,-30.7,9.8,-20.9
2026,7,2026-07,-4.5,-1.9,-27.1,10.2,-19.6
