pais,pais_codi,any,indic_sbs,valor
Portugal,PT,2021,EMP_NR,451443.0
Portugal,PT,2021,ENT_BRTHR_DTHR_PC,16.94
Portugal,PT,2021,ENT_BRTHR_PC,8.87
Portugal,PT,2021,ENT_DTHR_PC,8.07
Portugal,PT,2021,ENT_NR,124445.0
Portugal,PT,2021,SAL_NR,373147.0
Portugal,PT,2022,EMP_NR,470377.0
Portugal,PT,2022,ENT_BRTHR_DTHR_PC,18.09
Portugal,PT,2022,ENT_BRTHR_PC,8.55
Portugal,PT,2022,ENT_DTHR_PC,9.53
Portugal,PT,2022,ENT_NR,124921.0
Portugal,PT,2022,GRW_ENT_PC,0.38
Portugal,PT,2022,SAL_NR,390783.0
Portugal,PT,2023,EMP_NR,477044.0
Portugal,PT,2023,ENT_BRTHR_DTHR_PC,17.45
Portugal,PT,2023,ENT_BRTHR_PC,8.76
Portugal,PT,2023,ENT_DTHR_PC,8.68
Portugal,PT,2023,ENT_NR,123899.0
Portugal,PT,2023,GRW_ENT_PC,-0.82
Portugal,PT,2023,SAL_NR,398579.0
