nombre,subsector,cnae,ing_2024,ing_2020,empleados,marge_ebitda,marge_ebit,marge_net,roa,ratio_personal,productivitat,cost_empleat,cagr,break_flag,quota_2024,rank_2024
Fragadis,Alimentació,4711,390591.0,321821.0,2118.0,7.004513672870087,4.596112045592449,3.8467348197987152,9.785851059672524,12.95933598060375,184415.01416430596,23898.961284230405,4.960759113309532,False,0.3957629930560841,32
Calzedonia,Moda i tèxtil,4771,356321.0,202220.0,2495.0,5.7066521479228,2.0703242301183487,1.400703298430348,2.7847522122906274,17.089646694974476,142814.02805611223,24406.412825651303,15.213754180756677,False,0.3610392084014658,33
Primaprix SL,Alimentació,4711,349153.0,91669.0,1880.0,6.9591268011444845,5.358395889481116,3.837572640074695,8.587726325909308,12.60192523048635,185719.68085106384,23404.255319148935,39.70061598166647,False,0.3537762936537476,34
GAME,Informàtica/electrònica,4741,348393.0,32741.0,1074.0,2.2951092587968183,2.1050939599819745,1.5416498035264772,8.44815653705801,9.74560338468339,324388.2681564246,31613.594040968343,,True,0.35300623014813015,35
Sephora,Cosmètica i perfumeria,4775,328622.0,109627.0,998.0,11.4331968036224,10.12896275964482,7.27796678250391,21.29912459591597,9.933297222949165,329280.5611222445,32708.416833667336,31.581482811117255,False,0.33297343334607415,36
Fnac,Llibres i cultura,4761,316547.0,345763.0,1436.0,-1.2178286320830713,-3.1038044903284505,-3.7883789768975857,-9.208394443633907,12.078775031827817,220436.6295264624,26626.044568245125,-2.182868920283698,False,0.3207385427798496,37
Hijos de Luis Rodriguez SA,Alimentació,4711,313381.0,250394.0,1738.0,5.2539879571512,3.725177978243735,3.0710221742862522,9.335350948667209,13.187781007782858,180311.27733026468,23779.056386651322,5.769922470625777,False,0.3175306203340801,38
Conforama,Mobles i llar,4759,277769.0,321195.0,1261.0,-1.7406550046981484,-3.866882193477314,-4.6841080178133625,-7.206553527118044,14.138366772390007,220276.76447264076,31143.53687549564,-3.566317857244272,False,0.2814470656471742,39
Arenal Perfumerías,Cosmètica i perfumeria,4775,267924.0,122431.0,1221.0,9.538525850614352,7.26400023887371,5.456398083038474,10.071996968548692,10.526865827622759,219429.97542997543,23099.099099099098,21.6270169893763,False,0.271471703525064,40
Dismoda Comercio y Distribucion SL,Moda i tèxtil,4771,252626.0,91022.0,1797.0,4.194342625066303,2.715476633442322,1.7001417114627948,6.5957185417242545,16.41952926460459,140582.081246522,23082.91597106288,29.072261041493654,False,0.2559711357501486,41
