serie_id,ambit,tipus,branca,indicador,any,mes,data,valor
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,8,2019-08-01,102.07
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,9,2019-09-01,95.225
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,10,2019-10-01,101.205
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,11,2019-11-01,103.733
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2019,12,2019-12-01,118.132
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,1,2020-01-01,102.097
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,2,2020-02-01,89.866
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,3,2020-03-01,82.265
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,4,2020-04-01,64.157
Andalucía. Cifra de negocio a precios corrientes. Comercio al por menor sin Estaciones de Servicio (47 sin 473). General. Índice.,Andalucía,nominal,Comercio al por menor sin Estaciones de Servicio (47 sin 473),index,2020,5,2020-05-01,76.864
